R2 score

+-------------------+------------------+--------------+-------------+---------------+
| обучение образцы  | тестовые образцы | Угол нашивки |  Layer Size | Number Layers |
|        -0.02      |       -0.17      |          0   |        24   |       34      |
|        -0.00      |       -0.07      |         90   |        24   |       35      |
|        -0.00      |       -0.08      |          0   |        24   |       35      |
|        -0.00      |       -0.07      |         90   |        24   |       36      |
|        -0.02      |       -0.18      |          0   |        24   |       36      |
|        -0.00      |       -0.09      |         90   |        24   |       37      |
|        -0.00      |       -0.08      |          0   |        24   |       37      |
|        -0.00      |       -0.12      |         90   |        24   |       38      |
|        -0.00      |       -0.05      |          0   |        24   |       38      |
|        -0.01      |       -0.16      |         90   |        24   |       39      |
|        -0.00      |       -0.06      |          0   |        24   |       39      |
|        -0.02      |       -0.02      |         90   |        24   |       40      |
|        -0.01      |       -0.04      |          0   |        24   |       40      |
|        -0.00      |       -0.07      |         90   |        24   |       41      |
|        -0.02      |       -0.17      |          0   |        24   |       41      |
|        -0.00      |       -0.09      |         90   |        24   |       42      |
|        -0.03      |       -0.01      |          0   |        24   |       42      |
|        -0.01      |       -0.04      |         90   |        24   |       43      |
|        -0.00      |       -0.09      |          0   |        24   |       43      |
|        -0.00      |       -0.09      |         90   |        24   |       44      |
|        -0.02      |       -0.17      |          0   |        24   |       44      |
|        -0.01      |       -0.03      |         90   |        24   |       45      |
|        -0.00      |       -0.05      |          0   |        24   |       45      |
|        -0.01      |       -0.04      |         90   |        24   |       46      |
|        -0.00      |       -0.07      |          0   |        24   |       46      |
|        -0.00      |       -0.12      |         90   |        24   |       47      |
|        -0.00      |       -0.08      |          0   |        24   |       47      |
|        -0.00      |       -0.06      |         90   |        24   |       48      |
|        -0.02      |       -0.02      |          0   |        24   |       48      |
|        -0.01      |       -0.04      |         90   |        24   |       49      |
|        -0.01      |       -0.14      |          0   |        24   |       49      |
|        -0.04      |       -0.01      |         90   |        24   |       50      |
|        -0.01      |       -0.13      |          0   |        24   |       50      |
|        -0.00      |       -0.06      |         90   |        24   |       51      |
